Date,Forecast,Lower_CI,Upper_CI,Actual
27/09/2024,2672.1413754104387,2561.0367723475606,2783.245978473317,2642.8525465499997
26/09/2024,2671.1969374877262,2562.826734585437,2779.5671403900155,2662.01773
25/09/2024,2670.2185946027203,2564.596477208966,2775.8407119964745,2656.6066227999995
24/09/2024,2669.2051295801675,2566.344402634829,2772.065856525506,2646.6753170999996
23/09/2024,2668.1552815486853,2568.068825658191,2768.241737,2624.021363
20/09/2024,2664.774142,2573.082804292327,2756.465479520712,2618.264801
19/09/2024,2663.565223102481,2574.6944268861685,2752.4360193187945,2591.7692605499997
18/09/2024,2662.3129045730816,2576.2726147722205,2748.353194373942,2579.533358
17/09/2024,2661.0156282846838,2577.815035877072,2744.216220692295,2575.618055
16/09/2024,2659.671780270834,2579.319225767768,2740.024335,2587.340333
13/09/2024,2655.3437845453414,2583.5755931743192,2727.1119759163635,2584.318236
12/09/2024,2653.7963194980257,2584.8992505474603,2722.693388448591,2558.865647
11/09/2024,2652.1933010439507,2586.1700413321178,2718.216560755784,2529.320261
10/09/2024,2650.5327348369383,2587.384497637419,2713.6809720364577,2527.1022646499996
09/09/2024,2648.812554934541,2588.538939980722,2709.08617,2519.0105655499997
06/09/2024,2643.2725450614544,2591.601859604976,2694.943230517933,2512.183581
05/09/2024,2641.291727106878,2592.474609135896,2690.1088450778607,2529.105261
04/09/2024,2639.2397985409584,2593.2651328426227,2685.214464239294,2500.289275
03/09/2024,2637.1142065197887,2593.968063686003,2680.2603493535744,2492.0512080999997
02/09/2024,2634.912306553337,2594.577657241777,2675.246955864897,2508.517641
30/08/2024,2627.820869467779,2595.782450660168,2659.8592882753906,2508.231291
29/08/2024,2625.285342235046,2595.9522037896154,2654.6184806804763,2524.4013072999996
28/08/2024,2622.6587905388174,2595.9926226285734,2649.3249584490613,2511.6523671499995
27/08/2024,2619.937946635467,2595.894594962338,2643.9812983085963,2519.504802
26/08/2024,2617.1194254706147,2595.648147241424,2638.590703699805,2519.610387
23/08/2024,2608.0420986985573,2593.902247,2622.1819501930245,2513.4396524999997
22/08/2024,2604.7965211162864,2592.9390117353705,2616.6540304972023,2492.2916331499996
21/08/2024,2601.434428532976,2591.7574842629106,2611.111372803041,2515.278153
20/08/2024,2597.951638104394,2590.3369925083502,2605.566283700438,2516.501669
19/08/2024,2594.3438168237926,2588.6527485080373,2600.034885139548,2506.6435576999997
